Name,Rating,Rating_count,Description,highly_rated_for
Kalpataru Projects International,4.2,(5.1k),Engineering & Construction | Hyderabad / Secunderabad +317 other locations,"Job Security, Skill Development / Learning, Salary & Benefits"
JustDial,3.5,(5.1k),Internet | Hyderabad / Secunderabad +227 other locations,
BNY,3.7,(5k),Financial Services | Hyderabad / Secunderabad +25 other locations,Work Life Balance
IQVIA,3.7,(5k),Clinical Research | Hyderabad / Secunderabad +62 other locations,Job Security
SBI Life Insurance Company,3.7,(5k),Insurance | Hyderabad / Secunderabad +651 other locations,Job Security
CBRE,4.1,(5k),Real Estate | Hyderabad / Secunderabad +91 other locations,"Company Culture, Work Life Balance, Job Security"
TVS Motor,3.9,(5k),Automobile | Hyderabad / Secunderabad +349 other locations,"Job Security, Skill Development / Learning, Salary & Benefits"
NTT Data,3.8,(5k),IT Services & Consulting | Hyderabad / Secunderabad +78 other locations,Work Life Balance
Nagarjuna Construction Company,4.0,(5k),Engineering & Construction | Hyderabad / Secunderabad +294 other locations,"Job Security, Company Culture, Work Life Balance"
Schneider Electric,4.2,(4.9k),Industrial Automation | Hyderabad / Secunderabad +119 other locations,"Company Culture, Work Life Balance, Job Security"
Persistent Systems,3.6,(4.9k),IT Services & Consulting | Hyderabad / Secunderabad +42 other locations,
vivo,4.1,(4.9k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +413 other locations,"Skill Development / Learning, Company Culture, Work Life Balance"
State Bank of India,3.8,(4.8k),Banking | Hyderabad / Secunderabad +618 other locations,"Job Security, Salary & Benefits"
Atos,3.8,(4.8k),IT Services & Consulting | Hyderabad / Secunderabad +49 other locations,Work Life Balance
Ecom Express,4.0,(4.8k),Logistics | Hyderabad / Secunderabad +775 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Eviden,3.6,(4.8k),IT Services & Consulting | Hyderabad / Secunderabad +39 other locations,Work Life Balance
KEC International,4.0,(4.7k),Engineering & Construction | Hyderabad / Secunderabad +310 other locations,"Job Security, Salary & Benefits, Company Culture"
Amdocs,3.6,(4.7k),Software Product | Hyderabad / Secunderabad +23 other locations,
